Date,Open,High,Low,Close,Adj Close,Volume
23/12/2013,16225.25,16318.11,16225.25,16294.61,16294.61,78930000
30/12/2013,16484.5098,16588.25,16416.4902,16469.9902,16469.9902,286710000
06/01/2014,16474.0391,16562.3203,16378.6104,16437.0508,16437.0508,443090000
13/01/2014,16434.0293,16505.2793,16240.5996,16458.5605,16458.5605,583760000
20/01/2014,16459.2695,16520.5996,15879.1104,15879.1104,15879.1104,441030000
27/01/2014,15879.0498,15945.8896,15617.5498,15698.8496,15698.8496,555430000
03/02/2014,15697.6904,15798.5098,15340.6904,15794.0801,15794.0801,593050000
10/02/2014,15793.6299,16175.5498,15733.6904,16154.3896,16154.3896,440880000
17/02/2014,16153.9697,16225.7197,16006.5898,16103.2998,16103.2998,376110000
24/02/2014,16102.2695,16398.9492,16102.2695,16321.71,16321.71,657780000
03/03/2014,16321.71,16505.6992,16071.25,16452.7207,16452.7207,419450000
10/03/2014,16453.0996,16460.3301,16046.9902,16065.6699,16065.6699,396080000
17/03/2014,16066.3701,16456.4492,16066.3701,16302.7695,16302.7695,703380000
24/03/2014,16303.2803,16466.0391,16191.79,16323.0596,16323.0596,472520000
31/03/2014,16324.2197,16631.6309,16324.2197,16412.7109,16412.7109,452210000
07/04/2014,16414.1504,16456.1191,16015.3203,16026.75,16026.75,538700000
14/04/2014,16028.29,16460.4902,16028.29,16408.5391,16408.5391,418710000
21/04/2014,16408.9199,16565.7109,16333.7803,16361.46,16361.46,412130000
28/04/2014,16363.2002,16620.0605,16312.6602,16512.8906,16512.8906,424260000
05/05/2014,16509.75,16622.9492,16357.3496,16583.3398,16583.3398,389130000
12/05/2014,16584.8203,16735.5098,16397.4609,16491.3105,16491.3105,440800000
19/05/2014,16490.3496,16613.0703,16341.2998,16606.2695,16606.2695,354650000
26/05/2014,16607.4199,16721.2207,16607.4199,16717.1699,16717.1699,304040000
02/06/2014,16716.8496,16924.2793,16673.6504,16924.2793,16924.2793,341950000
09/06/2014,16926.0801,16970.1699,16703.7305,16775.7402,16775.7402,361330000
16/06/2014,16765.5605,16978.0195,16722.8594,16947.0801,16947.0801,542720000
23/06/2014,16946.5,16969.6992,16746.0898,16851.8398,16851.8398,419120000
30/06/2014,16852.4902,17074.6504,16801.9395,17068.2598,17068.2598,289050000
07/07/2014,17063.8301,17063.8301,16805.3809,16943.8105,16943.8105,332360000
